Company,ExpandRound2,FundingYear,FundingDate,Amount,SourceURL,Founded_Year,Status,ReportRegion1,ReportRegion2,ReportRegion3,ReportCountry,ReportCity,L2 (Bank Type),L3 (Bank Model),Sector
Coconut,Seed/Angel,2017,7/17/2017,  -   ,https://getcoconut.com,2016,Operating,EMEA,Europe (incl Russia),Northern Europe,United Kingdom,London,Challenger Bank,FinTech,Retail Banking
Coconut,Seed/Angel,2017,9/14/2017,  -   ,https://getcoconut.com,2016,Operating,EMEA,Europe (incl Russia),Northern Europe,United Kingdom,London,Challenger Bank,FinTech,Retail Banking
Cogni,Seed/Angel,2017,10/1/2017,"  100,000 ",http://www.getcogni.com,2018,Operating,Americas,North America,NY,United States,New York,NeoBank,Partnership,Retail and SME
Cogni,Seed/Angel,2018,11/5/2018,"  1,700,000 ",http://www.getcogni.com,2018,Operating,Americas,North America,NY,United States,New York,NeoBank,Partnership,Retail and SME
Cogni,Seed/Angel,2019,10/23/2019,"  6,180,000 ",http://www.getcogni.com,2018,Operating,Americas,North America,NY,United States,New York,NeoBank,Partnership,Retail and SME
Countingup,Seed/Angel,2017,10/23/2017,"  660,155 ",https://countingup.com,2017,Operating,EMEA,Europe (incl Russia),Northern Europe,United Kingdom,London,NeoBank,Independent ,Retail Banking
Countingup,Seed/Angel,2018,9/3/2018,"  2,959,665 ",https://countingup.com,2017,Operating,EMEA,Europe (incl Russia),Northern Europe,United Kingdom,London,NeoBank,Independent ,Retail Banking
Cuenca,Seed/Angel,2018,2/27/2018,"  100,000 ",https://cuenca.com,2018,Operating,Americas,North America,North America,Mexico,Mexico City,NeoBank,Independent ,Retail Banking
Cuenca,Seed/Angel,2018,8/1/2018,"  2,200,000 ",https://cuenca.com,2018,Operating,Americas,North America,North America,Mexico,Mexico City,NeoBank,Independent ,Retail Banking
Cuenca,Series A,2019,12/18/2019,"  7,400,000 ",https://cuenca.com,2018,Operating,Americas,North America,North America,Mexico,Mexico City,NeoBank,Independent ,Retail Banking
