Company,ExpandRound2,FundingYear,FundingDate,Amount,SourceURL,Founded_Year,Status,ReportRegion1,ReportRegion2,ReportRegion3,ReportCountry,ReportCity,L2 (Bank Type),L3 (Bank Model),Sector
Tyro Payments,Seed/Angel,2005,11/1/2005,"  3,400,000 ",http://www.tyro.com,2003,Operating,APAC,APAC,Australia & South Pacific,Australia,Sydney,Challenger Bank,FinTech,Retail Banking
Tyro Payments,Seed/Angel,2005,12/1/2005,"  250,000 ",http://www.tyro.com,2003,Operating,APAC,APAC,Australia & South Pacific,Australia,Sydney,Challenger Bank,FinTech,Retail Banking
Tyro Payments,Seed/Angel,2006,3/1/2006,"  5,810,000 ",http://www.tyro.com,2003,Operating,APAC,APAC,Australia & South Pacific,Australia,Sydney,Challenger Bank,FinTech,Retail Banking
Tyro Payments,Seed/Angel,2007,1/1/2007,"  280,660 ",http://www.tyro.com,2003,Operating,APAC,APAC,Australia & South Pacific,Australia,Sydney,Challenger Bank,FinTech,Retail Banking
Tyro Payments,Seed/Angel,2007,6/1/2007,"  3,500,000 ",http://www.tyro.com,2003,Operating,APAC,APAC,Australia & South Pacific,Australia,Sydney,Challenger Bank,FinTech,Retail Banking
Tyro Payments,Seed/Angel,2007,11/1/2007,"  2,100,000 ",http://www.tyro.com,2003,Operating,APAC,APAC,Australia & South Pacific,Australia,Sydney,Challenger Bank,FinTech,Retail Banking
Tyro Payments,Seed/Angel,2008,1/1/2008,"  1,116,250 ",http://www.tyro.com,2003,Operating,APAC,APAC,Australia & South Pacific,Australia,Sydney,Challenger Bank,FinTech,Retail Banking
Tyro Payments,Seed/Angel,2008,10/1/2008,"  3,905,420 ",http://www.tyro.com,2003,Operating,APAC,APAC,Australia & South Pacific,Australia,Sydney,Challenger Bank,FinTech,Retail Banking
Tyro Payments,Seed/Angel,2009,12/1/2009,"  3,661,120 ",http://www.tyro.com,2003,Operating,APAC,APAC,Australia & South Pacific,Australia,Sydney,Challenger Bank,FinTech,Retail Banking
Tyro Payments,Seed/Angel,2011,12/12/2011,"  2,730,940 ",http://www.tyro.com,2003,Operating,APAC,APAC,Australia & South Pacific,Australia,Sydney,Challenger Bank,FinTech,Retail Banking
Tyro Payments,Unattributed VC,2015,11/30/2015,"  72,285,725 ",http://www.tyro.com,2003,Operating,APAC,APAC,Australia & South Pacific,Australia,Sydney,Challenger Bank,FinTech,Retail Banking
Uala,Seed/Angel,2017,1/20/2017,  -   ,http://www.uala.com.ar,2017,Operating,Americas,South & Central America,South America,Argentina,Buenos Aires,NeoBank,Independent ,Retail Banking
Uala,Series A,2018,2/6/2018,"  10,000,000 ",http://www.uala.com.ar,2017,Operating,Americas,South & Central America,South America,Argentina,Buenos Aires,NeoBank,Independent ,Retail Banking
Uala,Series B,2018,10/3/2018,"  34,000,000 ",http://www.uala.com.ar,2017,Operating,Americas,South & Central America,South America,Argentina,Buenos Aires,NeoBank,Independent ,Retail Banking
Uala,Series C,2019,11/26/2019,"  150,000,000 ",http://www.uala.com.ar,2017,Operating,Americas,South & Central America,South America,Argentina,Buenos Aires,NeoBank,Independent ,Retail Banking
Unifimoney,Seed/Angel,2020,4/19/2020,"  1,000,000 ",https://unifi.money,2019,Operating,Americas,North America,CA,United States,San Francisco,NeoBank,Partnership,Retail Banking
Upgrade,Series A,2016,3/2/2016,  -   ,http://www.upgrade.com/,2016,Operating,Americas,North America,CA,United States,San Francisco,NeoBank,Partnership,Retail and SME
Upgrade,Series A,2017,3/13/2017,"  60,000,000 ",http://www.upgrade.com/,2016,Operating,Americas,North America,CA,United States,San Francisco,NeoBank,Partnership,Retail and SME
